liveAnimals,PhDField,PhDStart_year,FirstAuthorPub_year,neuroField_liveAnimals,timeToFirstAuthorPub
1,Neuroscience,2013,2022,1,9
1,Neuroscience,2017,NaN,1,NaN
1,Neuroscience,2016,NaN,1,NaN
1,Neuroscience,2018,NaN,1,NaN
1,Neuroscience,2018,NaN,1,NaN
1,Neuroscience,2016,2022,1,6
1,Neuroscience,2013,2020,1,7
1,Neuroscience,2013,2021,1,8
1,Neuroscience,2017,NaN,1,NaN
1,Neuroscience,2016,2021,1,5
1,Neuroscience,2016,2023,1,7
1,Neuroscience,2016,2023,1,7
1,Neuroscience,2016,2021,1,5
1,Neuroscience,2010,2017,1,7
1,Neuroscience,2014,2020,1,6
1,Neuroscience,2012,2020,1,8
0,Neuroscience,2016,2018,0,2
1,Neuroscience,2017,2023,1,6
1,Neuroscience,NaN,NaN,1,NaN
1,Neuroscience,NaN,NaN,1,NaN
1,Neuroscience,NaN,NaN,1,NaN
1,Neuroscience,NaN,NaN,1,NaN
0,Neuroscience,1990,1994,0,4
0,Psychology,1994,2002,0,8
0,Cell Biology,2016,2021,0,5
0,Biophysics,2011,2014,0,3
0,Neuroscience,2010,2013,0,3
0,Neuroscience,2018,2022,0,4
0,Neuroscience,2003,2007,0,4
0,Neuroscience,2010,2014,0,4
0,Neuroscience,2020,2023,0,3
0,Neuroscience,2019,2019,0,0
0,Neuroscience,2007,2012,0,5
0,Neuroscience,2016,2020,0,4
0,Neuroscience,2002,2004,0,2
0,Neuroscience,2019,2023,0,4
0,Neuroscience,2000,2004,0,4
0,Neuroscience,2006,2009,0,3
0,Neuroscience,2004,2007,0,3
0,Psychology,2015,2020,0,5
1,Neuroscience,NaN,NaN,1,NaN
1,Neuroscience,NaN,NaN,1,NaN
1,Neuroscience,NaN,NaN,1,NaN
1,Neuroscience,2011,2017,1,6
1,Neuroscience,2012,2018,1,6
1,Neuroscience,2013,2019,1,6
1,Neuroscience,2019,NaN,1,NaN
1,Neuroscience,2019,NaN,1,NaN
1,Neuroscience,2021,NaN,1,NaN
1,Neuroscience,2010,2019,1,9
1,Neuroscience,2013,2016,1,3
